id,movie_title,rating,year,rank,star_cast,newtitle
162,Dial M for Murder,8.119877143,1954,162,Alfred Hitchcock (dir.); Ray Milland; Grace Kelly,Singh Is Kinng
163,El secreto de sus ojos,8.117584295,2009,163,Juan José Campanella (dir.); Ricardo Darín; Soledad Villamil,Chak De India
164,Hauru no ugoku shiro,8.115670867,2004,164,Hayao Miyazaki (dir.); Chieko Baishô; Takuya Kimura,Tamasha
165,The Bridge on the River Kwai,8.112242099,1957,165,David Lean (dir.); William Holden; Alec Guinness,Drishyam
166,Three Billboards Outside Ebbing; Missouri,8.111785342,2017,166,Martin McDonagh (dir.); Frances McDormand; Woody Harrelson,Special 26
167,Trainspotting,8.111034097,1996,167,Danny Boyle (dir.); Ewan McGregor; Ewen Bremner,Love Aaj Kal
168,Warrior,8.10351798,2011,168,Gavin O'Connor (dir.); Tom Hardy; Nick Nolte,Article 15
169,Gran Torino,8.102939399,2008,169,Clint Eastwood (dir.); Clint Eastwood; Bee Vang,R... Rajkumar
170,Fargo,8.102484994,1996,170,Joel Coen (dir.); William H. Macy; Frances McDormand,Samrat Prithviraj
171,Prisoners,8.100327998,2013,171,Denis Villeneuve (dir.); Hugh Jackman; Jake Gyllenhaal,Parmanu The Story Of Pokhran
172,Tonari no Totoro,8.093741394,1988,172,Hayao Miyazaki (dir.); Hitoshi Takagi; Noriko Hidaka,Pink
173,Million Dollar Baby,8.089356945,2004,173,Clint Eastwood (dir.); Hilary Swank; Clint Eastwood,Jab Harry Met Sejal
174,Catch Me If You Can,8.088710603,2002,174,Steven Spielberg (dir.); Leonardo DiCaprio; Tom Hanks,Pyaar Ka Punchnama 2
175,The Gold Rush,8.086209138,1925,175,Charles Chaplin (dir.); Charles Chaplin; Mack Swain,Ajab Prem Ki Ghazab Kahani
176,Bacheha-Ye aseman,8.085722461,1997,176,Majid Majidi (dir.); Mohammad Amir Naji; Amir Farrokh Hashemian,Drishyam 2
177,Blade Runner,8.085195242,1982,177,Ridley Scott (dir.); Harrison Ford; Rutger Hauer,Satyagraha
178,On the Waterfront,8.082279953,1954,178,Elia Kazan (dir.); Marlon Brando; Karl Malden,Humshakals
179,12 Years a Slave,8.079873254,2013,179,Steve McQueen (dir.); Chiwetel Ejiofor; Michael Kenneth Williams,Secret Superstar
180,Before Sunrise,8.079823014,1995,180,Richard Linklater (dir.); Ethan Hawke; Julie Delpy,Taare Zameen Par
181,The Third Man,8.079364795,1949,181,Carol Reed (dir.); Orson Welles; Joseph Cotten,Shubh Mangal Zyada Saavdhan
182,Smultronstället,8.078523145,1957,182,Ingmar Bergman (dir.); Victor Sjöström; Bibi Andersson,Rockstar
183,Harry Potter and the Deathly Hallows: Part 2,8.078294192,2011,183,David Yates (dir.); Daniel Radcliffe; Emma Watson,Laal Singh Chaddha
184,Ben-Hur,8.0778269,1959,184,William Wyler (dir.); Charlton Heston; Jack Hawkins,Once Upon Ay Time In Mumbai Dobaara!
185,The General,8.077259208,1926,185,Clyde Bruckman (dir.); Buster Keaton; Marion Mack,Tees Maar Khan
186,Gone Girl,8.077040883,2014,186,David Fincher (dir.); Ben Affleck; Rosamund Pike,Queen
187,The Deer Hunter,8.075137098,1978,187,Michael Cimino (dir.); Robert De Niro; Christopher Walken,Wanted
188,The Grand Budapest Hotel,8.074514982,2014,188,Wes Anderson (dir.); Ralph Fiennes; F. Murray Abraham,Race
189,In the Name of the Father,8.074002181,1993,189,Jim Sheridan (dir.); Daniel Day-Lewis; Pete Postlethwaite,Udta Punjab
190,Barry Lyndon,8.073289466,1975,190,Stanley Kubrick (dir.); Ryan O'Neal; Marisa Berenson,Half Girlfriend
191,Le salaire de la peur,8.071756249,1953,191,Henri-Georges Clouzot (dir.); Yves Montand; Charles Vanel,Befikre
192,Sherlock Jr,8.069230873,1924,192,Buster Keaton (dir.); Buster Keaton; Kathryn McGuire,Raanjhanaa
193,Mr Smith Goes to Washington,8.069057853,1939,193,Frank Capra (dir.); James Stewart; Jean Arthur,Partner
194,Klaus,8.068922159,2019,194,Sergio Pablos (dir.); Jason Schwartzman; J.K. Simmons,Besharam
195,Hacksaw Ridge,8.068885342,2016,195,Mel Gibson (dir.); Andrew Garfield; Sam Worthington,Malang
